"","first_id","last_id","gender","rank","institution_id","city_id","region","sector","year"
"376",3612,25689,"M","associate professor",1,1,"Campania","Eng-Civ",2015
"377",5113,25703,"M","assistant professor",1,1,"Campania","Eng-Civ",2015
"378",2545,28024,"M","professor",1,1,"Campania","Eng-Civ",2015
"379",8108,29281,"F","associate professor",1,1,"Campania","Eng-Civ",2015
"380",7520,30920,"M","associate professor",1,1,"Campania","Eng-Civ",2015
"381",3392,31455,"M","assistant professor",1,1,"Campania","Eng-Civ",2015
"382",6840,31561,"M","professor",1,1,"Campania","Eng-Civ",2015
"383",6840,162,"M","assistant professor",1,1,"Campania","Eng-Ind",2015
"384",1658,1025,"M","professor",1,1,"Campania","Eng-Ind",2015
"385",4434,1266,"M","associate professor",1,1,"Campania","Eng-Ind",2015
"386",629,1920,"F","assistant professor",1,1,"Campania","Eng-Ind",2015
"387",2080,2077,"M","assistant professor",1,1,"Campania","Eng-Ind",2015
"388",3064,2219,"M","associate professor",1,1,"Campania","Eng-Ind",2015
"389",7782,2568,"M","professor",1,1,"Campania","Eng-Ind",2015
"390",2782,4936,"F","associate professor",1,1,"Campania","Eng-Ind",2015
"391",6516,5672,"M","associate professor",1,1,"Campania","Eng-Ind",2015
"392",6192,5733,"M","professor",1,1,"Campania","Eng-Ind",2015
"393",8208,5853,"M","assistant professor",1,1,"Campania","Eng-Ind",2015
"394",7163,5954,"M","assistant professor",1,1,"Campania","Eng-Ind",2015
"395",6929,7043,"M","professor",1,1,"Campania","Eng-Ind",2015
"396",3064,7044,"M","assistant professor",1,1,"Campania","Eng-Ind",2015
"397",7540,7657,"M","associate professor",1,1,"Campania","Eng-Ind",2015
"398",3064,7864,"M","assistant professor",1,1,"Campania","Eng-Ind",2015
"399",2202,8192,"M","assistant professor",1,1,"Campania","Eng-Ind",2015
"400",3222,8680,"M","assistant professor",1,1,"Campania","Eng-Ind",2015
"401",3329,8836,"M","associate professor",1,1,"Campania","Eng-Ind",2015
"402",3064,9055,"M","associate professor",1,1,"Campania","Eng-Ind",2015
"403",8635,9055,"M","professor",1,1,"Campania","Eng-Ind",2015
"404",3056,9249,"F","professor",1,1,"Campania","Eng-Ind",2015
"405",6070,9626,"M","associate professor",1,1,"Campania","Eng-Ind",2015
"406",434,10091,"M","professor",1,1,"Campania","Eng-Ind",2015
"407",4351,10132,"F","assistant professor",1,1,"Campania","Eng-Ind",2015
"408",878,9888,"M","associate professor",1,1,"Campania","Eng-Ind",2015
"409",5054,10833,"M","associate professor",1,1,"Campania","Eng-Ind",2015
"410",3064,11264,"M","associate professor",1,1,"Campania","Eng-Ind",2015
"411",3673,11264,"M","professor",1,1,"Campania","Eng-Ind",2015
"412",2783,11584,"M","associate professor",1,1,"Campania","Eng-Ind",2015
"413",6516,12158,"M","professor",1,1,"Campania","Eng-Ind",2015
"414",2962,12253,"M","assistant professor",1,1,"Campania","Eng-Ind",2015
"415",3738,12260,"F","professor",1,1,"Campania","Eng-Ind",2015
"416",6929,12636,"M","associate professor",1,1,"Campania","Eng-Ind",2015
"417",6117,13303,"M","associate professor",1,1,"Campania","Eng-Ind",2015
